,contrast_cluster_1,dissimilarity_cluster_1,homogeneity_cluster_1,energy_cluster_1,contrast_cluster_2,dissimilarity_cluster_2,homogeneity_cluster_2,energy_cluster_2,contrast_cluster_3,dissimilarity_cluster_3,homogeneity_cluster_3,energy_cluster_3,contrast_cluster_4,dissimilarity_cluster_4,homogeneity_cluster_4,energy_cluster_4
p214-010-60181-cl.png,562752972.25,15852313.0,12701909.269423544,86969.56368302336,3219662012.5,54703743.0,12081399.751813037,131200.37292724632,6180661373.25,76259437.25,12070060.352701845,134989.32997425436,3865155890.25,38653097.25,12932952.56609786,80580.237356735
p214-010-60181-cr.png,673023458.0,17654297.0,12605112.997276695,94933.1108118428,3881948239.25,62779561.25,11910614.14003055,148544.9265209462,7485651672.25,91071840.0,11747689.497432485,160499.49400437748,4673766862.0,46725477.5,12828191.735408632,93864.25738158228
p214-010-60181-ml.png,908824998.5,21356289.0,12577619.557487585,96846.95040232077,4573652284.5,71016283.75,11761908.664377533,156818.77895421264,6787147694.75,80303459.25,12077546.248606814,144304.23258852112,3082847837.25,29668177.5,13116860.189911542,62708.52239450298
p214-010-60181-mr.png,921056597.75,22166630.25,12487736.626679024,104290.18823771543,5004163762.5,78526653.75,11528599.280497935,179925.84718423645,7876105984.0,94273519.5,11756679.266855547,160868.99906573916,3782620069.25,36634238.25,13001886.909649178,81586.82605128888
p214-010-60182-cl.png,562700941.5,16888056.0,12488128.273917513,97924.0644416112,2754139357.0,49221014.5,12062196.56449088,122574.49890524866,5636482148.5,69869191.25,12083448.653977346,118075.73508901478,3935467341.75,39221835.5,12868529.380339265,70279.73768067535
p214-010-60182-cr.png,404566023.0,13069974.25,12643709.591654908,93948.56354060407,2499340154.0,46625947.0,12076403.455171071,127269.87660841065,5432045705.0,72776971.0,11927793.78286125,137576.14094259558,3738384532.75,40801733.0,12806176.347083025,87500.74197697174
p214-010-60182-ml.png,891730028.0,22939544.0,12329384.171751745,105868.95749096904,3794635703.25,62025681.5,11878213.416297754,134222.46070531968,5427641382.25,64929068.0,12305914.270740248,117449.1742039288,2597388360.0,24748154.75,13188144.797817584,66610.4934297048
p214-010-60182-mr.png,931024245.0,23746521.5,12353106.455042258,103257.7437809055,4246390980.75,68659112.0,11770750.824619463,153726.27634147758,6577924728.75,78545801.5,11954118.38697622,125921.85276049447,3302685589.25,30277509.0,13131601.885013485,58307.453563469586
p214-010-60194-cl.png,290185892.25,8476405.0,7920644.047698004,56345.64523415362,976857672.0,15306780.0,8025112.3003000505,45865.222486040155,1582229579.0,14523205.5,8238354.77812035,54067.15124508602,1010817436.25,7699662.0,8317599.53889031,25902.533012625685
p214-010-60194-cr.png,309143667.25,8311391.0,7985543.448798031,60168.52583465124,1310305562.0,18185039.75,8009944.757027192,52754.07632921166,2194903820.0,19910488.5,8103198.025823908,49027.832045874544,1222793680.0,8425296.75,8346755.021570245,34472.580119718914
p214-010-60194-ml.png,332920984.5,10015036.0,7755724.704561681,65681.27927901568,1241031831.5,19287205.75,7888106.740496994,51819.60578173866,2070594584.75,19184300.0,8115214.597405054,48558.03524963102,1250741995.5,8988622.0,8311615.703247186,42699.317406900176
p214-010-60194-mr.png,282973093.75,8687193.5,7799588.387317801,54663.5597824164,1116372705.5,15968049.25,8030446.134355672,56431.29115256869,2181001186.5,19224296.5,8114722.550017731,46542.17134008474,1443099572.25,10158546.75,8293144.779159084,38174.606015298836
p214-010-60196-cl.png,334537454.5,8911083.75,12977511.958787626,58570.105830564,1549019762.25,21796913.75,12933699.982558237,50462.11960366447,2565420707.25,23561451.5,13163785.126984969,60818.63279540418,1373484362.75,10153353.0,13397373.702622674,48007.443237160216
p214-010-60196-cr.png,151868989.0,5095959.0,13132125.002315924,52373.153969239094,965024421.5,15277706.75,13094845.549722726,47265.246212905404,1942898765.5,20596755.25,13138974.179865245,61165.93876019883,1161366917.0,10053671.0,13356558.476504887,50346.08397903395
p214-010-60196-ml.png,460731617.5,11373936.25,12743937.02283496,67558.32665303479,1933460597.0,26401845.0,12821899.511291977,62216.169586530435,2991491376.75,28734761.75,12972563.882130455,61299.60261618244,1526477114.25,11626019.25,13360857.166988956,46404.85046159832
p214-010-60196-mr.png,629530634.5,12773408.25,12766512.516396143,68287.31502450624,1815777823.75,23016784.5,12987705.377253989,61124.50074980629,2129210317.25,19415166.0,13203108.730667109,61782.07703553539,988396820.5,7450033.5,13429125.706580605,40595.49250888639
p214-010-60202-cl.png,449632091.0,10947556.0,7833255.205413321,68266.26921917745,2146855694.0,30952996.0,7740608.079945801,81624.30471226678,4161052002.5,44758918.75,7675487.92636589,76750.2598897507,2761813577.0,24829726.75,8111798.247863663,57069.41327091993
p214-010-60202-cr.png,420741482.0,10914888.75,7806236.388107631,58707.511466744,1904367235.0,27743222.75,7779531.875247078,67956.06990575789,3397971065.5,35235777.75,7845616.776715154,62176.05624758218,2057217382.75,17333188.25,8220103.212632319,39702.26574561906
p214-010-60202-ml.png,728524658.0,15652369.25,7603468.540231228,87405.92886011407,1682873628.25,26597566.25,7754708.995495394,92130.89215134576,1601907091.5,19646860.5,8042777.756419878,53427.768073304025,754904331.0,7621674.0,8358643.096177161,37704.26037825627
p214-010-60202-mr.png,611275082.25,13989806.5,7647674.405004293,79025.91646901425,1642810624.0,25235231.0,7807437.631920648,76199.06752471335,1909049335.75,21737903.5,8030862.815162676,46843.02983034224,999504338.0,9294278.75,8328866.639485423,48040.66088440352
p214-010-60207-cl.png,140980006.0,4090552.5,8182366.640970698,62107.29550806039,665369120.75,10111918.5,8168238.369670259,38592.8823998298,1490142073.25,14733727.5,8179634.05590052,42172.77326170883,1047689614.5,8390886.0,8342808.431214604,35839.005403279894
p214-010-60207-cr.png,102626169.5,3019695.5,8242533.977942906,38209.537499862825,510810133.5,7611178.5,8227104.106022879,53877.08609215368,1153829552.5,10669760.0,8271970.050102299,52317.84936851956,806514116.75,6451761.5,8327574.293821234,50950.292802028634
p214-010-60207-ml.png,192157505.75,5009237.0,8078698.443652628,50167.2919289678,740399350.25,10238961.75,8201910.424541116,55711.09145889238,1476541971.25,13884010.25,8199374.639148877,53589.789470710835,1001419239.75,7784382.75,8341158.844534763,40363.99470120172
p214-010-60207-mr.png,92422252.75,2830548.75,8220768.386802841,58438.48396911836,506237243.0,7382833.5,8257141.224687465,48815.620634950836,1524077369.25,14550870.5,8203718.928860668,40582.46085078704,1239352385.0,10481225.75,8250903.482456287,46139.308889650856
